title,seasons
"Suburra: Blood on Rome",3
"Blood of Zeus",1
"Chico Bon Bon: Monkey with a Tool Belt",4
"The Devil Punisher",1
Barbarians,1
Move,1
"Stolen Away",1
"The Queen's Gambit",1
"My Next Guest Needs No Introduction With David Letterman",3
"Unsolved Mysteries",2
Start-Up,1
"Grand Army",1
"La Révolution",1
"Someone Has to Die",1
"The Last Kids on Earth",3
"Fireman Sam",4
"Half & Half",4
"One on One",5
"Power Rangers Beast Morphers",2
"Social Distance",1
"The Cabin with Bert Kreischer",1
"Kipo and the Age of Wonderbeasts",3
"Deaf U",1
"The Haunting of Bly Manor",1
"Do Do Sol Sol La La Sol",1
"Private Lives",1
"The 100",7
"To the Lake",1
"Bad Boy Billionaires: India",1
"Pat a Pat Como",1
"Qurious Como",1
"DreamWorks Happy Holidays from Madagascar",1
"Emily in Paris",1
"H2O: Just Add Water",3
Evil,1
"Familiar Wife",1
"Food Wars!: Shokugeki no Soma",2
"Good Morning, Verônica",1
"Journey of an African Colony",1
"Oktoberfest: Beer & Blood",1
"Secreto bien guardado",1
"Sword Art Online",3
"The Parkers",5
"The Unicorn",1
"You Cannot Hide",1
"Black Butler",3
"Man with a Plan",4
Wentworth,8
"Whose Vote Counts, Explained",1
"Van Helsing",4
"The Good Place",4
"A Perfect Crime",1
"Mighty Little Bheem",3
Sneakerheads,1
"The School Nurse Files",1
"The Chef Show",4
"The Playbook",1
"Fukrey Boyzzz",1
Ratched,1
"The American Barbecue Showdown",1
"The Blacklist",7
"Dragon's Dogma",1
"The Last Word",1
Baby,3
Challenger,1
"Criminal: UK",2
Signs,2
"Sing On!",1
"Call the Midwife",9
"Taco Chronicles",2
Buddi,2
"Family Business",2
Girlfriends,8
"The Barrier",1
"The Duchess",1
Greenleaf,5
"Julie and the Phantoms",1
"Get Organized with The Home Edit",1
"La Línea: Shadow of Narco",1
"Record of Youth",1
"Transformers: Cyberverse",2
Cleverman,1
Away,1
"Spirit Riding Free: Riding Academy",2
"Young Wallander",1
"Chef's Table: BBQ",1
"The Witcher: A Look Inside the Episodes",1
"Blue Exorcist",2
Bookmarks,1
Borgen,3
Erased,1
"Felipe Esparza: Bad Decisions",1
H,4
Heidi,1
"Sister, Sister",6
"The Promised Neverland",1
"Thomas and Friends",2
"I AM A KILLER: RELEASED",1
"Masaba Masaba",1
Aggretsuko,3
"Her Mother's Killer",1
"Million Dollar Beach House",1
"Emily's Wonder Lab",1
Trinkets,2
"Baewatch: Parental Guidance",1
"Ojos in d' House",1
Hoops,1
"Rust Valley Restorers",3
Goedam,1
"DeMarcus Family Rules",1
"High Score",1
"Glitch Techs",2
Stranger,2
"Dérè: An African Tale",1
Rita,5
Takki,2
3%,4
"Teenage Bounty Hunters",1
"The Great Heist",1
"The Legend of Korra",4
"Zoids Wild",1
(Un)Well,1
"GAME ON: A Comedy Crossover Event",1
"Terrace House: Tokyo 2019-2020",2
"The Governor",1
"High Seas",3
"Selling Sunset",3
"Sing On! Germany",1
"Tiny Creatures",1
"Wizards: Tales of Arcadia",1
"Word Party Songs",1
"Ever After High",5
"The Rain",3
"World's Most Wanted",1
"Mystery Lab",1
"Immigration Nation",1
Moesha,6
"My Perfect Landing",1
"Nagi-Asu: A Lull in the Sea",1
"The Next Step",1
Toradora!,1
"Transformers Rescue Bots Academy",2
"Get Even",1
"Sugar Rush",3
"The Umbrella Academy",2
"Transformers: War For Cybertron Trilogy",1
"Unlucky Ploy",1
"Last Chance U",5
"Shameless (U.S.)",10
"Sing On! Spain",1
"Sinatra: All or Nothing at All",1
"Fear City: New York vs The Mafia",1
Norsemen,3
"Street Food: Latin America",1
"Killer Women with Piers Morgan",1
Gigantosaurus,1
"Single Wives",1
Cursed,1
"In The Dark",2
"Kissing Game",1
"Dark Desire",1
"Skin Decision: Before and After",1
"Sunny Bunnies",2
"The Business of Drugs",1
"Dating Around: Brazil",1
"Down to Earth with Zac Efron",1
"The Epic Tales of Captain Underpants in Space",1
"The Twelve",1
"Japan Sinks: 2020",1
"The Protector",4
"Was It Love?",1
Stateless,1
Hook,1
"Little Singham",2
"Cable Girls",6
"JU-ON: Origins",1
"Southern Survival",1
"The Baby-Sitters Club",1
"Supermarket Sweep",1
"Warrior Nun",1
"21 Again",1
"A Touch of Green",1
"Abby Hatcher",1
"Say I Do",1
Trotro,1
BNA,1
Homemade,1
Dark,3
